title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,citeScoreTracker_2024,citeScoreCurrentMetric_2023
Ad-Hoc and Sensor Wireless Networks,Old City Publishing,journal,PHYS;ENGI;COMP,Instrumentation;Computer Science (all);Electrical and Electronic Engineering,0.227,0.265,52,408,21,0.0,38,352,25,0.0,24,229,22,0.0,2.1,2.0
Ada User Journal,Ada-Europe,journal,COMP,Software,0.025,0.101,51,24,45,0.0,24,19,24,0.0,0,12,0,0.0,0.3,0.2
"Adaptation, Learning, and Optimization",Springer Science + Business Media,bookseries,MATH;COMP,Theoretical Computer Science;Computer Science (all),1.23,0.195,9,453,1,0.0,16,465,2,0.0,0,396,0,0.0,3.1,1.2
Advanced Biomedical Engineering,Japanese Society for Medical and Biological Engineering,journal,ENGI;BIOC;MATE;COMP,Biotechnology;Computer Vision and Pattern Recognition;Biomaterials;Biomedical Engineering;Computer Science Applications,0.331,0.228,25,100,10,4.0,28,80,18,3.57,34,86,31,0.0,1.0,1.4
Advanced Control for Applications: Engineering and Industrial Systems,John Wiley and Sons Inc,journal,ENGI;MATH;ENER;COMP,Modeling and Simulation;Signal Processing;Artificial Intelligence;Computer Science Applications;Energy (miscellaneous);Computer Networks and Communications;Control and Systems Engineering,0.553,0.439,21,120,7,0.0,22,185,10,0.0,90,179,75,3.33,2.5,2.6
Advanced Engineering Informatics,Elsevier Ltd,journal,COMP,Information Systems;Artificial Intelligence,2.176,1.731,312,9507,6,3.53,379,11844,20,2.64,618,14757,330,2.43,11.8,12.4
Advanced Information and Knowledge Processing,Springer Science + Business Media,bookseries,BUSI;DECI;COMP,Information Systems;Management Information Systems;Artificial Intelligence;Information Systems and Management,0,0.108,8,155,8,0.0,0,134,0,0.0,0,137,0,0.0,0.4,0.5
Advanced Modeling and Simulation in Engineering Sciences,SpringerOpen,journal,ENGI;MATH;COMP,Modeling and Simulation;Computer Science Applications;Engineering (miscellaneous);Applied Mathematics,1.243,0.741,24,547,2,8.33,17,601,2,0.0,18,631,13,0.0,4.3,6.8
Advanced Quantum Technologies,John Wiley & Sons Inc.,journal,MATH;PHYS;MATE;ENGI;COMP,"Statistical and Nonlinear Physics;Condensed Matter Physics;Electronic, Optical and Magnetic Materials;Computational Theory and Mathematics;Electrical and Electronic Engineering;Mathematical Physics;Nuclear and High Energy Physics",1.278,1.609,88,1523,7,22.73,159,2133,33,7.55,256,2504,178,6.64,6.5,7.9
Advanced Robotics,Taylor and Francis Ltd.,journal,ENGI;COMP,Software;Computer Science Applications;Human-Computer Interaction;Hardware and Architecture;Control and Systems Engineering,0.898,0.605,98,3740,24,0.0,120,3706,40,0.83,129,3030,115,3.1,3.2,4.1
Advanced Sciences and Technologies for Security Applications,Springer Nature,bookseries,ENGI;SOCI;ENVI;COMP,"Political Science and International Relations;Health, Toxicology and Mutagenesis;Computer Networks and Communications;Safety Research;Computer Science Applications;Safety, Risk, Reliability and Quality",0,0.133,87,682,58,0.0,165,863,102,0.0,97,833,88,0.0,1.4,1.1
Advances and Applications in Bioinformatics and Chemistry,Dove Medical Press Ltd.,journal,COMP;BIOC;CHEM,"Biochemistry, Genetics and Molecular Biology (miscellaneous);Chemistry (miscellaneous);Biochemistry;Computer Science Applications",1.13,0.755,7,362,0,0.0,6,373,0,0.0,6,380,4,0.0,7.0,6.5
Advances in Artificial Intelligence and Machine Learning,Shimur Publications,journal,COMP,Artificial Intelligence,0.639,0.163,26,19,12,0.0,63,56,38,4.76,56,61,51,7.14,0.9,0.8
Advances in Computational Design,Techno-Press,journal,ENGI;MATH;COMP,Computer Graphics and Computer-Aided Design;Computational Mechanics;Computational Mathematics,0.415,0.229,21,197,6,0.0,17,188,15,0.0,13,132,13,0.0,1.9,3.1
Advances in Computer Vision and Pattern Recognition,Springer Science and Business Media Deutschland GmbH,bookseries,COMP,Software;Signal Processing;Artificial Intelligence;Computer Vision and Pattern Recognition,3.32,0.699,68,750,29,0.0,34,769,11,0.0,0,636,0,0.0,2.3,2.0
Advances in Computers,Academic Press Inc.,bookseries,COMP,Computer Science (all),33.497,9.308,42,1420,20,0.0,42,1535,20,0.0,77,1256,63,0.0,3.7,5.4
Advances in Data Analysis and Classification,Springer Science and Business Media Deutschland GmbH,journal,MATH;COMP,Computer Science Applications;Applied Mathematics,1.405,0.594,43,979,13,0.0,59,972,28,0.0,59,930,42,0.0,3.0,3.4
Advances in Distributed Computing and Artificial Intelligence Journal,University of Salamanca,journal,COMP,Computer Networks and Communications;Computer Science Applications;Information Systems;Artificial Intelligence,0.563,0.422,28,40,7,7.14,29,99,18,0.0,11,93,10,27.27,1.5,1.4
Advances in Electrical and Computer Engineering,University of Suceava,journal,ENGI;COMP,Electrical and Electronic Engineering;Computer Science (all),0.314,0.221,41,671,8,0.0,42,643,23,0.0,27,554,24,0.0,1.8,1.8
Advances in Engineering Software,Elsevier Ltd,journal,ENGI;COMP,Software;Engineering (all),1.367,0.826,157,14145,9,5.1,140,14985,8,3.57,141,13850,88,1.42,8.1,7.7
Advances in Human-Computer Interaction,Hindawi Limited,journal,COMP,Human-Computer Interaction,1.339,0.464,22,647,1,22.73,11,736,3,9.09,4,649,3,50.0,9.1,6.3
Advances in Information Security,Springer Science + Business Media,bookseries,COMP,Computer Networks and Communications;Information Systems,1.69,0.230,26,451,8,0.0,76,573,34,0.0,60,523,56,0.0,1.8,2.1
Advances in Mathematics of Communications,American Institute of Mathematical Sciences,journal,MATH;COMP,Computer Networks and Communications;Discrete Mathematics and Combinatorics;Applied Mathematics;Algebra and Number Theory,1.047,0.463,33,555,10,0.0,89,658,33,0.0,101,590,57,0.0,1.9,2.2
Advances in Parallel Computing,Elsevier,bookseries,COMP,Computer Science (all),0.389,0.133,93,313,59,0.0,1,416,0,0.0,0,269,0,0.0,1.4,1.2
Advances in Science and Technology Research Journal,Politechnika Lubelska,journal,ENGI;ENVI;MATE;COMP,Environmental Science (miscellaneous);Engineering (all);Materials Science (miscellaneous);Computer Science (all),0.472,0.227,186,335,50,0.54,189,558,93,0.53,195,726,165,0.0,1.9,1.6
