title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,citeScoreTracker_2024,citeScoreCurrentMetric_2023
Procesamiento del Lenguaje Natural,Sociedad Espanola para el Procesamiento del Lenguaje Natural,journal,ARTS;SOCI;COMP,Computer Science Applications;Linguistics and Language;Language and Linguistics,2.069,0.677,39,410,14,20.51,55,623,20,1.82,47,469,32,2.13,6.7,5.4
Production Planning and Control,Taylor and Francis Ltd.,journal,BUSI;ENGI;DECI;COMP,Computer Science Applications;Management Science and Operations Research;Strategy and Management;Industrial and Manufacturing Engineering,2.207,2.020,100,7664,1,0.0,154,9255,13,0.0,179,9366,59,0.0,19.4,19.3
Programming and Computer Software,Pleiades Publishing,journal,COMP,Software,0.716,0.296,69,381,25,0.0,101,451,76,0.0,44,275,41,0.0,1.3,1.6
Progress in Artificial Intelligence,Springer Nature,journal,COMP,Artificial Intelligence,1.477,0.828,29,1201,3,6.9,22,1247,4,13.64,40,1221,33,0.0,5.3,9.7
Progress in Computational Fluid Dynamics,Inderscience Enterprises Ltd,journal,PHYS;COMP,Computer Science Applications;Condensed Matter Physics,0.696,0.239,29,717,16,0.0,32,706,20,0.0,24,664,22,0.0,1.0,1.5
Psychoradiology,Oxford University Press,journal,PSYC;NEUR;MEDI;COMP,"Neuroscience (miscellaneous);Artificial Intelligence;Clinical Psychology;Psychology (miscellaneous);Psychiatry and Mental Health;Neurology (clinical);Radiology, Nuclear Medicine and Imaging",1.251,1.093,19,35,1,36.84,31,108,8,38.71,16,160,13,25.0,4.2,2.5
Public Transport,Springer Verlag,journal,DECI;ENGI;SOCI;COMP,Mechanical Engineering;Information Systems;Transportation;Management Science and Operations Research,1.223,0.722,29,752,5,0.0,32,852,14,0.0,34,768,25,0.0,5.0,5.4
Publications,Multidisciplinary Digital Publishing Institute (MDPI),journal,BUSI;ENGI;SOCI;COMP,Media Technology;Library and Information Sciences;Communication;Computer Science Applications;Business and International Management,1.438,0.793,51,759,13,7.84,51,1087,21,1.96,28,1247,22,7.14,9.3,6.5
Publishing Research Quarterly,Springer US,journal,BUSI;ENGI;SOCI;COMP,Media Technology;Management of Technology and Innovation;Communication;Computer Science Applications;Marketing;Business and International Management,0.822,0.346,54,351,20,0.0,23,465,10,0.0,15,450,12,0.0,2.8,2.2
Qinghua Daxue Xuebao/Journal of Tsinghua University,Tsinghua University Press,journal,ENGI;MATH;COMP,Engineering (all);Computer Science Applications;Applied Mathematics,0.644,0.266,225,2050,72,8.0,194,2006,111,3.61,166,1667,149,0.0,2.2,2.0
Quantitative Biology,John Wiley and Sons Inc,journal,MATH;BIOC;COMP,"Modeling and Simulation;Computer Science Applications;Applied Mathematics;Biochemistry, Genetics and Molecular Biology (miscellaneous)",0.418,0.631,35,585,18,20.0,38,612,20,28.95,36,623,32,16.67,1.8,5.0
Quantum Information Processing,Springer New York,journal,MATH;PHYS;MATE;ENGI;COMP,"Modeling and Simulation;Signal Processing;Statistical and Nonlinear Physics;Electronic, Optical and Magnetic Materials;Electrical and Electronic Engineering;Theoretical Computer Science",0.912,0.541,397,6470,66,0.76,455,6871,159,1.54,364,6373,285,0.0,3.9,4.1
Quantum Information and Computation,Rinton Press Inc.,journal,PHYS;MATH;COMP,Statistical and Nonlinear Physics;Theoretical Computer Science;Physics and Astronomy (all);Computational Theory and Mathematics;Mathematical Physics;Nuclear and High Energy Physics,0.431,0.236,34,2156,11,0.0,34,2110,22,0.0,22,1985,17,0.0,1.7,1.7
Quantum Machine Intelligence,Springer Science and Business Media Deutschland GmbH,journal,MATH;COMP,Artificial Intelligence;Software;Computational Theory and Mathematics;Theoretical Computer Science;Applied Mathematics,1.424,1.025,30,349,3,0.0,46,530,9,2.17,70,653,45,5.71,6.5,7.6
Qubahan Academic Journal,Qubahan,journal,BUSI;SOCI;COMP,"Education;Business, Management and Accounting (all);Computational Theory and Mathematics;Artificial Intelligence",1.999,0.749,9,187,3,11.11,48,281,28,4.17,125,368,113,0.8,4.5,5.9
Queue,Association for Computing Machinery (ACM),journal,COMP,Computer Science (all),1.336,1.177,35,1089,23,2.86,46,1174,37,0.0,21,973,21,0.0,2.4,1.8
Queueing Systems,Springer Netherlands,journal,DECI;MATH;COMP,Computational Theory and Mathematics;Computer Science Applications;Management Science and Operations Research;Statistics and Probability,1.416,0.762,142,1465,75,0.0,34,1528,14,0.0,32,1319,29,0.0,2.0,2.3
Qwerty,Progetti editoriali s.r.l.,journal,SOCI;COMP,Education;Human-Computer Interaction;Cultural Studies;Communication,0.601,0.324,13,55,6,0.0,15,70,10,0.0,5,61,5,0.0,2.0,2.4
RAIRO - Operations Research,EDP Sciences,journal,DECI;MATH;COMP,Theoretical Computer Science;Computer Science Applications;Management Science and Operations Research,0.743,0.438,215,1491,36,0.47,164,2020,80,0.0,187,2121,164,0.0,3.8,3.6
RAIRO - Theoretical Informatics and Applications,EDP Sciences,journal,MATH;COMP,Mathematics (all);Software;Computer Science Applications,0.282,0.110,9,241,6,0.0,12,236,5,0.0,17,214,13,0.0,0.7,0.8
RIAI - Revista Iberoamericana de Automatica e Informatica Industrial,Universitat Politecnica de Valencia,journal,ENGI;COMP,Control and Systems Engineering;Computer Science (all),0.855,0.391,38,320,19,2.63,45,373,20,0.0,34,241,30,5.88,2.6,3.0
RIED-Revista Iberoamericana de Educacion a Distancia,Ibero-American Association for Distance Higher Education (AIESAD),journal,SOCI;COMP,Education;Computer Science Applications,1.357,0.608,34,471,6,0.0,31,508,6,3.23,32,468,19,0.0,8.0,7.2
RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,Associacao Iberica de Sistemas e Tecnologias de Informacao,journal,COMP,Computer Science (all),0.212,0.134,374,570,280,0.8,502,577,456,0.2,378,474,374,1.06,0.5,0.7
ROBOMECH Journal,Springer International Publishing AG,journal,ENGI;PHYS;MATH;COMP,Modeling and Simulation;Artificial Intelligence;Mechanical Engineering;Instrumentation;Control and Optimization,0.703,0.385,24,497,4,4.17,30,590,14,3.33,16,430,14,0.0,2.8,3.2
RSC Theoretical and Computational Chemistry Series,Royal Society of Chemistry,bookseries,COMP;CHEM,Chemistry (all);Computer Science Applications,0,0.130,13,58,7,0.0,0,60,0,0.0,0,49,0,0.0,1.7,1.6
Radioelectronic and Computer Systems,National Aerospace University Kharkiv Aviation Institute,journal,ENGI;COMP,Software;Computer Graphics and Computer-Aided Design;Computer Networks and Communications;Hardware and Architecture;Electrical and Electronic Engineering;Information Systems,0.713,0.281,62,170,25,0.0,66,266,37,0.0,35,182,30,2.86,3.6,3.6
"Radioelektronika, Nanosistemy, Informacionnye Tehnologii",Russian Academy of Natural Science,journal,MATE;COMP,"Electronic, Optical and Magnetic Materials;Computer Networks and Communications;Hardware and Architecture;Information Systems;Materials Science (miscellaneous)",0.361,0.193,34,45,30,5.88,47,52,42,0.0,73,31,71,2.74,0.5,0.6
Radiology: Artificial Intelligence,Radiological Society of North America Inc.,journal,COMP;MEDI;HEAL,"Radiological and Ultrasound Technology;Radiology, Nuclear Medicine and Imaging;Artificial Intelligence",2.585,2.602,72,1564,5,1.39,60,2288,12,3.33,91,2709,52,0.0,14.7,16.2
Railway Engineering Science,Springer,journal,ENGI;SOCI;COMP,Transportation;Mechanical Engineering;Electrical and Electronic Engineering;Computer Science Applications;Computational Mechanics,3.128,1.563,28,1147,1,14.29,36,1306,3,8.33,35,1362,23,0.0,8.3,10.8
Random Structures and Algorithms,John Wiley and Sons Ltd,journal,MATH;COMP,Mathematics (all);Software;Computer Graphics and Computer-Aided Design;Applied Mathematics,1.368,1.638,60,2348,16,0.0,71,2141,29,0.0,77,1854,59,0.0,1.9,2.5
ReCALL,Cambridge University Press,journal,ARTS;SOCI;COMP,Education;Computer Science Applications;Linguistics and Language;Language and Linguistics,2.892,1.493,24,1911,3,0.0,26,1969,5,0.0,27,1711,14,0.0,11.4,8.5
Real-Time Systems,Springer Netherlands,journal,ENGI;MATH;COMP,Modeling and Simulation;Control and Systems Engineering;Computer Networks and Communications;Electrical and Electronic Engineering;Computer Science Applications;Control and Optimization,0.969,0.420,19,1005,7,0.0,22,823,10,0.0,19,509,18,0.0,2.4,2.9
Recent Advances in Computer Science and Communications,Bentham Science Publishers,journal,COMP,Computer Science (all),0.332,0.200,123,588,40,20.33,67,643,26,46.27,61,591,50,39.34,2.7,2.5
Register: Jurnal Ilmiah Teknologi Sistem Informasi,Universitas Pesantren Tinggi Darul Ulum,journal,DECI;COMP,Artificial Intelligence;Computer Science (miscellaneous);Information Systems and Management;Decision Sciences (miscellaneous);Information Systems,0.491,0.236,13,61,4,7.69,14,87,9,7.14,7,71,6,0.0,3.0,2.5
Reliable Computing,Springer Netherlands,journal,MATH;COMP,Software;Applied Mathematics;Computational Mathematics,0.515,0.104,5,248,5,0.0,0,230,0,0.0,0,153,0,0.0,0.2,0.2
Requirements Engineering,Springer London,journal,COMP,Software;Information Systems,1.838,0.755,25,1261,3,0.0,26,1252,2,0.0,24,997,17,0.0,6.2,7.1
Research Data Journal for the Humanities and Social Sciences,Brill Academic Publishers,journal,ARTS;SOCI;COMP,Social Sciences (all);Computer Science Applications;Arts and Humanities (all),0.48,0.184,8,6,3,0.0,5,20,4,0.0,17,23,16,0.0,1.3,1.0
Research in Learning Technology,Association for Learning Technology,journal,SOCI;COMP,Education;Computer Science Applications,1.409,0.771,14,1018,0,0.0,25,1183,12,0.0,17,1015,14,5.88,4.3,6.5
Results in Control and Optimization,Elsevier B.V.,journal,ENGI;MATH;COMP,Modeling and Simulation;Artificial Intelligence;Applied Mathematics;Control and Systems Engineering;Control and Optimization,1.252,0.610,60,129,4,0.0,138,524,28,0.0,147,1010,73,0.0,4.4,3.0
Review of Computer Engineering Research,Conscientia Beam,journal,ENGI;COMP,Computer Science Applications;Hardware and Architecture;Electrical and Electronic Engineering,0.357,0.186,18,41,3,0.0,15,57,9,6.67,5,62,5,0.0,2.7,1.9
Revista Chilena de Derecho y Tecnologia,Universidad de Chile,journal,SOCI;COMP,Computer Networks and Communications;Law;Information Systems,0.962,0.433,15,47,7,0.0,18,51,16,0.0,12,55,12,8.33,1.4,1.3
Revista Colombiana de Computacion,Universidad Autonoma de Bucaramanga,journal,COMP,Computer Science (all),0.561,0.136,10,16,6,20.0,9,25,8,22.22,6,18,6,0.0,1.3,0.9
Revista Digital de Biblioteconomia e Ciencia da Informacao,Universidade Estadual de Campinas,journal,SOCI;COMP,Education;Information Systems;Library and Information Sciences;Public Administration,0.514,0.186,35,28,21,2.86,30,40,22,6.67,23,36,22,4.35,0.9,0.9
"Revista de Direito, Estado e Telecomunicacoes",Universidade de Brasilia,journal,ENGI;SOCI;COMP,Computer Networks and Communications;Law;Electrical and Electronic Engineering,0.281,0.141,15,39,8,0.0,24,37,17,0.0,12,43,12,0.0,1.0,1.0
Revista de Educacion a Distancia,Universidad de Murcia,journal,ENGI;SOCI;COMP,Education;Computer Science Applications;Engineering (miscellaneous);Computer Science (miscellaneous),1.142,0.560,18,322,3,0.0,54,399,21,3.7,25,304,21,4.0,4.0,4.1
Revista de Informatica Teorica e Aplicada,"Federal University of Rio Grande do Sul, Institute of Informatics",journal,COMP,Computer Science (all),0.216,0.169,19,46,10,5.26,17,48,15,0.0,16,41,15,12.5,0.5,0.9
"Revista de Internet, Derecho y Politica",Universitat Oberta de Catalunya,journal,SOCI;COMP,Law;Sociology and Political Science;Computer Science (miscellaneous),0.87,0.316,14,33,6,0.0,27,59,16,0.0,14,59,11,0.0,1.2,1.2
Revista de la Facultad de Ciencias,Universidad Nacional de Colombia,journal,BIOC;COMP,Computational Theory and Mathematics;Molecular Biology;Biophysics,0.087,0.121,15,10,12,0.0,12,13,11,8.33,12,11,11,0.0,0.3,0.4
Revue Francaise de Photogrammetrie et de Teledetection,Soc. Francaise de Photogrammetrie et de Teledetection,journal,ENGI;COMP,Computer Science Applications;Electrical and Electronic Engineering,0.458,0.235,7,54,3,0.0,3,64,2,0.0,3,54,3,0.0,1.4,1.2
Revue d'Intelligence Artificielle,International Information and Engineering Technology Association,journal,COMP,Software;Artificial Intelligence,0.609,0.278,116,470,33,2.59,180,758,79,1.67,38,746,27,5.26,2.6,2.6
Robotic Intelligence and Automation,Emerald Publishing,journal,ENGI;COMP,Artificial Intelligence;Industrial and Manufacturing Engineering;Computer Science Applications;Human-Computer Interaction;Electrical and Electronic Engineering;Control and Systems Engineering,0.733,0.555,70,1938,13,4.29,54,1823,11,5.56,66,1591,49,6.06,3.9,4.7
Robotica,Cambridge University Press,journal,MEDI;ENGI;MATH;COMP,Modeling and Simulation;Rehabilitation;Artificial Intelligence;Software;Mechanical Engineering;Computer Science Applications;Computer Vision and Pattern Recognition;Mathematics (all);Control and Systems Engineering;Computational Mechanics;Control and Optimization,0.925,0.579,230,3912,18,1.3,203,4073,45,2.46,179,3607,136,2.79,4.4,4.5
Robotics,Multidisciplinary Digital Publishing Institute (MDPI),journal,ENGI;MATH;COMP,Mechanical Engineering;Control and Optimization;Artificial Intelligence,1.41,0.795,154,2327,14,7.14,169,3051,28,11.83,154,3116,101,8.44,6.7,6.7
Robotics and Autonomous Systems,Elsevier B.V.,journal,ENGI;MATH;COMP,Mathematics (all);Software;Control and Systems Engineering;Computer Science Applications,1.775,1.303,154,12580,4,0.0,189,13129,16,0.0,187,10807,106,0.0,8.4,9.0
Robotics and Computer-Integrated Manufacturing,Elsevier Ltd,journal,ENGI;MATH;COMP,Industrial and Manufacturing Engineering;Software;Control and Systems Engineering;Mathematics (all);Computer Science Applications,3.439,2.906,162,11437,2,6.17,139,13469,1,7.19,164,13588,29,7.32,21.4,24.1
Robotics: Science and Systems,MIT Press Journals,conferenceproceeding,ENGI;COMP,Control and Systems Engineering;Artificial Intelligence;Electrical and Electronic Engineering,2.359,1.506,75,4319,4,0.0,0,5060,0,0.0,0,3610,0,0.0,13.9,12.0
Romanian Journal of Information Science and Technology,Publishing House of the Romanian Academy,journal,COMP,Computer Science (all),1.079,1.269,26,359,6,0.0,29,443,11,0.0,28,419,26,0.0,4.8,5.5
Ruan Jian Xue Bao/Journal of Software,Chinese Academy of Sciences,journal,COMP,Software,0.758,0.305,261,3088,81,3.45,307,3044,160,4.89,238,2177,189,18.07,2.2,2.4
SAE International Journal of Advances and Current Practices in Mobility,SAE International,journal,ENGI;COMP;ENER,Artificial Intelligence;Mechanical Engineering;Aerospace Engineering;Automotive Engineering;Fuel Technology,0,0.104,9,3,7,0.0,216,5,168,0.0,1,62,1,0.0,0.3,0.1
SAE International Journal of Connected and Automated Vehicles,SAE International,journal,ENGI;COMP,Control and Systems Engineering;Computer Science Applications;Automotive Engineering;Artificial Intelligence,0.445,0.309,45,69,12,0.0,33,150,20,0.0,27,143,24,0.0,2.1,2.1
SCIRES-IT,Caspur -Ciber Publishing,journal,ARTS;SOCI;COMP,Conservation;Library and Information Sciences;Computer Networks and Communications;Computer Science Applications;Information Systems,0.671,0.342,25,98,8,0.0,29,140,17,3.45,19,109,19,0.0,2.3,1.9
SIAM Journal on Computing,Society for Industrial and Applied Mathematics Publications,journal,MATH;COMP,Mathematics (all);Computer Science (all),1.704,2.143,65,9566,18,0.0,62,8914,24,0.0,41,7509,38,0.0,3.7,4.6
SIAM Journal on Optimization,Society for Industrial and Applied Mathematics Publications,journal,MATH;COMP,Theoretical Computer Science;Software;Applied Mathematics,2.269,2.138,112,11169,21,1.79,114,11251,42,0.0,127,10222,96,0.0,4.2,5.3
"SICE Journal of Control, Measurement, and System Integration",Taylor and Francis Ltd.,journal,ENGI;COMP,Control and Systems Engineering;Computer Science (all),0.613,0.208,31,67,10,0.0,37,93,21,0.0,34,99,28,0.0,1.3,1.2
SIGMOD Record,Association for Computing Machinery (ACM),journal,COMP,Software;Information Systems,0.786,0.708,31,5030,16,0.0,51,4495,38,0.0,33,3270,30,12.12,2.2,3.1
SLAS Technology,SAGE Publications Inc.,journal,HEAL;COMP,Computer Science Applications;Medical Laboratory Technology,0.587,0.517,47,975,9,4.26,36,1050,7,5.56,81,1051,63,9.88,4.2,6.3
SN Computer Science,Springer,journal,COMP,Artificial Intelligence;Computer Graphics and Computer-Aided Design;Computer Networks and Communications;Computational Theory and Mathematics;Computer Science (all);Computer Science Applications,1.294,0.721,348,3527,83,5.17,852,6181,280,6.46,986,7265,719,6.19,4.9,5.6
"Sampling Theory, Signal Processing, and Data Analysis",Springer International Publishing,journal,MATH;MEDI;COMP,"Analysis;Signal Processing;Radiology, Nuclear Medicine and Imaging;Computational Mathematics;Algebra and Number Theory",1.193,0.464,21,130,3,0.0,35,175,17,0.0,18,150,14,0.0,1.9,1.2
Sao Paulo Journal of Mathematical Sciences,Springer Nature,journal,DECI;MATH;COMP,"Mathematics (all);Statistics, Probability and Uncertainty;Computational Theory and Mathematics",0.672,0.205,66,132,34,0.0,83,176,61,0.0,92,200,81,0.0,0.9,0.9
Satellite Navigation,Springer,journal,ENGI;COMP,Signal Processing;Aerospace Engineering;Electrical and Electronic Engineering,3.815,2.363,28,745,0,10.71,30,960,0,13.33,29,1088,17,6.9,15.9,19.4
Scalable Computing,West University of Timisoara,journal,COMP,Computer Science (all),0.534,0.308,34,411,10,0.0,102,525,62,0.0,396,443,352,0.0,0.8,2.0
Scandinavian Journal of Information Systems,"The IRIS Association (Information Systems Research in Scandinavia), the Scandinavian chapter of the Association for Information Systems",journal,COMP,Information Systems,0.475,0.444,13,92,0,0.0,8,142,5,0.0,12,143,10,0.0,3.2,2.0
Science China Information Sciences,Science China Press,journal,COMP,Computer Science (all),1.922,1.882,344,8788,25,5.52,347,9408,46,7.2,321,9082,208,4.67,11.6,12.6
Science Robotics,American Association for the Advancement of Science,journal,ENGI;MATH;COMP,Computer Science Applications;Control and Optimization;Artificial Intelligence;Mechanical Engineering,5.277,6.601,90,9636,8,5.56,94,12154,23,3.19,106,12253,65,2.83,28.2,30.6
Science Technology and Human Values,SAGE Publications Inc.,journal,ECON;ARTS;SOCI;COMP,Economics and Econometrics;Philosophy;Human-Computer Interaction;Social Sciences (miscellaneous);Sociology and Political Science;Anthropology,2.054,1.232,59,3972,11,0.0,76,4349,13,0.0,85,3790,51,0.0,6.7,7.7
Science and Innovation,Publishing House Akademperiodyka,journal,DECI;BUSI;SOCI;ENGI;COMP,Management of Technology and Innovation;Information Systems and Management;Law;Engineering (miscellaneous);Computer Science Applications,0.38,0.195,59,134,32,0.0,43,180,28,2.33,39,164,37,0.0,1.3,1.1
Science of Computer Programming,Elsevier B.V.,journal,MATH;COMP,Modeling and Simulation;Software;Information Systems;Computational Theory and Mathematics,0.916,0.511,79,2121,19,0.0,64,2174,23,1.56,112,1761,72,0.89,3.5,3.8
Scientia Iranica,Sharif University of Technology,journal,PHYS;MATE;CHEM;ENGI;COMP,Industrial and Manufacturing Engineering;Civil and Structural Engineering;Physics and Astronomy (miscellaneous);Engineering (all);Mechanical Engineering;Computer Science (miscellaneous);Chemistry (miscellaneous);Materials Science (miscellaneous),0.474,0.312,265,4509,73,0.38,118,4549,43,0.0,68,4084,42,0.0,3.3,2.9
Scientia Sinica Informationis,Science China Press,journal,ENGI;COMP,Engineering (miscellaneous);Computer Science (all),0.803,0.310,138,603,55,7.97,139,720,73,7.91,110,684,96,6.36,2.1,2.9
Scientific Annals of Computer Science,Alexandru Ioan Cuza University of Iasi,journal,MATH;COMP,Applied Mathematics;Computer Science (all),0.654,0.162,10,38,6,0.0,8,26,6,0.0,4,26,4,0.0,0.9,1.1
Scientific Visualization,"National Research Nuclear University ""MEPhI""",journal,COMP,Software;Computer Vision and Pattern Recognition,0.462,0.220,46,113,27,0.0,55,120,46,0.0,33,103,31,0.0,1.1,1.3
Scientific and Technical Information Processing,Pleiades Publishing,journal,COMP,Computer Science (all),0.381,0.196,65,215,38,0.0,74,265,56,0.0,20,186,20,0.0,1.0,1.0
"Scientific and Technical Journal of Information Technologies, Mechanics and Optics",ITMO University,journal,PHYS;ENGI;MATE;COMP,"Mechanical Engineering;Atomic and Molecular Physics, and Optics;Electronic, Optical and Magnetic Materials;Computer Science Applications;Information Systems",0.262,0.151,144,101,90,0.0,142,179,104,0.7,79,146,77,1.27,0.8,0.7
Scientific data,Nature Publishing Group,journal,DECI;MATH;SOCI;COMP,"Education;Library and Information Sciences;Statistics, Probability and Uncertainty;Computer Science Applications;Information Systems;Statistics and Probability",1.91,1.937,791,24625,49,0.13,928,30637,158,0.0,1168,33927,817,0.09,7.7,11.2
Scientometrics,Akademiai Kiado,journal,SOCI;COMP,Social Sciences (all);Computer Science Applications;Library and Information Sciences,1.561,1.079,351,20720,35,0.0,324,24316,91,0.0,311,22267,229,0.0,7.2,7.2
Scripta and E-Scripta,"Institute for Literature, Bulgarian Academy of Sciences",journal,ARTS;SOCI;COMP,Literature and Literary Theory;History;Language and Linguistics;Computer Science Applications;Linguistics and Language,2.286,0.184,17,0,11,0.0,0,4,0,0.0,0,3,0,0.0,0.5,0.3
Semantic Web,IOS Press BV,journal,COMP,Computer Networks and Communications;Computer Science Applications;Information Systems,2.197,0.857,56,2135,4,3.57,24,2309,5,0.0,37,1652,19,0.0,6.3,8.3
Sensing and Bio-Sensing Research,Elsevier B.V.,journal,ENGI;BIOC;MATE;COMP,"Electronic, Optical and Magnetic Materials;Biotechnology;Signal Processing;Electrical and Electronic Engineering",1.385,0.731,73,2260,1,15.07,56,2610,8,7.14,100,2647,64,17.0,8.8,10.7
Sensors,Multidisciplinary Digital Publishing Institute (MDPI),journal,PHYS;BIOC;CHEM;ENGI;COMP,"Analytical Chemistry;Atomic and Molecular Physics, and Optics;Instrumentation;Biochemistry;Electrical and Electronic Engineering;Information Systems",1.247,0.786,10012,176095,789,6.17,9874,215641,1956,6.78,6764,210441,4866,5.99,7.4,7.3
Sensors and Actuators Reports,Elsevier B.V.,journal,PHYS;ENGI;MATE;COMP,"Computer Science (miscellaneous);Atomic and Molecular Physics, and Optics;Instrumentation;Electronic, Optical and Magnetic Materials;Electrical and Electronic Engineering",1.315,0.900,66,519,5,0.0,45,947,2,22.22,71,1276,43,23.94,10.0,9.6
Serbian Journal of Electrical Engineering,University of Kragujevac Faculty of Technical Sciences in Cacak,journal,ENGI;ENER;COMP,Energy Engineering and Power Technology;Mechanical Engineering;Computer Networks and Communications;Hardware and Architecture;Electrical and Electronic Engineering;Control and Systems Engineering,0.244,0.166,23,96,11,0.0,25,97,18,0.0,15,102,13,0.0,1.1,1.3
Service Oriented Computing and Applications,Springer London,journal,BUSI;COMP,Software;Information Systems;Management Information Systems;Hardware and Architecture,0.736,0.563,24,430,4,0.0,23,393,6,0.0,52,330,43,0.0,2.9,2.6
Shenzhen Daxue Xuebao (Ligong Ban)/Journal of Shenzhen University Science and Engineering,Editorial Office of Journal of Shenzhen University,journal,ENGI;COMP,Engineering (miscellaneous);Computer Science (miscellaneous),0.256,0.168,91,268,44,1.1,85,296,66,1.18,70,250,61,0.0,0.9,0.9
Shuju Caiji Yu Chuli/Journal of Data Acquisition and Processing,Nanjing University of Aeronautics an Astronautics,journal,COMP,Software;Signal Processing,0.295,0.166,121,438,67,1.65,120,430,85,0.0,105,287,103,0.0,0.9,0.8
SiSal Journal,Kanda University of International Studies,journal,ARTS;SOCI;COMP,Education;Computer Science Applications;Linguistics and Language;Language and Linguistics,0.374,0.261,29,47,18,3.45,30,41,24,6.67,28,43,27,0.0,0.8,1.4
Signal Processing,Elsevier B.V.,journal,ENGI;COMP,Signal Processing;Software;Computer Vision and Pattern Recognition;Electrical and Electronic Engineering;Control and Systems Engineering,1.614,1.065,322,20116,19,2.17,393,20020,56,1.53,325,17452,178,1.85,7.9,9.2
Signal Processing: Image Communication,Elsevier B.V.,journal,ENGI;COMP,Software;Signal Processing;Electrical and Electronic Engineering;Computer Vision and Pattern Recognition,1.251,0.852,147,5593,5,0.0,110,5887,20,0.0,67,5015,52,0.0,8.4,8.4
"Signal, Image and Video Processing",Springer London,journal,ENGI;COMP,Signal Processing;Electrical and Electronic Engineering,0.897,0.558,257,3748,37,0.0,491,4382,120,0.0,857,4748,605,0.0,3.5,3.8
Signals and Communication Technology,Springer International Publishing AG,bookseries,ENGI;COMP,Computer Networks and Communications;Signal Processing;Control and Systems Engineering;Electrical and Electronic Engineering,0,0.131,68,300,53,0.0,135,345,92,0.0,402,436,333,0.0,0.8,1.0
Simulation,SAGE Publications Ltd,journal,MATH;COMP,Modeling and Simulation;Software;Computer Graphics and Computer-Aided Design,0.914,0.419,71,2269,19,0.0,73,2151,25,0.0,84,1753,65,0.0,3.5,3.5
Simulation Modelling Practice and Theory,Elsevier B.V.,journal,MATH;COMP,Modeling and Simulation;Software;Hardware and Architecture,1.574,0.970,142,5430,8,5.63,119,5774,13,5.88,122,5433,74,1.64,8.7,9.8
Simulation and Gaming,SAGE Publications Inc.,journal,SOCI;COMP,Social Sciences (all);Computer Science Applications,1.311,0.586,38,2405,9,5.26,41,2150,16,2.44,58,2068,44,6.9,3.5,5.3
Sistemi Intelligenti,Il Mulino publishing house,journal,PSYC;SOCI;NEUR;ARTS;COMP,Experimental and Cognitive Psychology;Cognitive Neuroscience;Artificial Intelligence;Language and Linguistics;Linguistics and Language,0.151,0.136,43,62,37,0.0,39,59,26,0.0,27,68,26,0.0,0.4,0.5
Smart Agricultural Technology,Elsevier B.V.,journal,AGRI;COMP,Agricultural and Biological Sciences (all);Artificial Intelligence;Computer Science (miscellaneous),1.879,0.849,44,217,3,18.18,306,1320,32,7.52,235,2492,142,9.36,6.7,4.2
Smart Cities,Multidisciplinary Digital Publishing Institute (MDPI),journal,ENGI;SOCI;COMP,Electrical and Electronic Engineering;Artificial Intelligence;Urban Studies,2.24,1.326,89,1601,6,7.87,152,2690,14,13.16,117,3307,70,14.53,13.5,11.2
Smart Health,Elsevier B.V.,journal,HEAL;MEDI;COMP,Computer Science Applications;Medicine (miscellaneous);Information Systems;Health Informatics;Health Information Management,0.879,0.694,84,677,6,9.52,43,803,13,6.98,49,793,35,8.16,6.8,6.5
"Smart Innovation, Systems and Technologies",Springer Science and Business Media Deutschland GmbH,bookseries,DECI;COMP,Decision Sciences (all);Computer Science (all),0.266,0.174,3197,5977,1686,0.0,2862,7382,2065,0.0,1267,5658,1190,0.0,1.1,1.1
Smart Learning Environments,SpringerOpen,journal,SOCI;COMP,Education;Computer Science Applications,3.16,1.573,38,871,3,10.53,66,1881,6,13.64,48,2611,25,12.5,16.0,13.2
Smart Materials and Structures,IOP Publishing Ltd.,journal,PHYS;ENGI;MATE;COMP,"Signal Processing;Civil and Structural Engineering;Atomic and Molecular Physics, and Optics;Condensed Matter Physics;Materials Science (all);Electrical and Electronic Engineering;Mechanics of Materials",1.14,0.872,392,27170,13,2.81,392,26026,61,1.28,516,23953,324,3.88,5.8,7.5
Smart Science,Taylor and Francis Ltd.,journal,CENG;MATH;CHEM;ENER;ENGI;COMP,Modeling and Simulation;Engineering (all);Chemistry (miscellaneous);Energy (miscellaneous);Computer Networks and Communications;Computational Mathematics;Fluid Flow and Transfer Processes,0.925,0.569,17,364,0,23.53,49,546,15,10.2,55,481,44,9.09,4.5,4.7
"Smart Sensors, Measurement and Instrumentation",Springer International Publishing AG,bookseries,PHYS;ENGI;COMP,Instrumentation;Mechanical Engineering;Computer Science (miscellaneous);Electrical and Electronic Engineering,0.636,0.104,33,280,18,0.0,8,262,5,0.0,7,248,5,0.0,1.5,1.0
