title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,citeScoreTracker_2024,citeScoreCurrentMetric_2023,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024
Applied Health Economics and Health Policy,Springer International Publishing AG,journal,ECON;MEDI,Economics and Econometrics;Health Policy,1.098,0.990,5.5,6.1,79,2397,11,21.52,77,2272,14,23.38,89,2178,69,23.6
Applied Mathematical Finance,Routledge,journal,ECON;MATH,Finance;Applied Mathematics,0.623,0.474,2.8,2.3,17,438,8,0.0,10,499,7,0.0,5,449,5,0.0
Apuntes,Universidad del Pacifico Press,journal,ECON;SOCI,"Social Sciences (all);Economics, Econometrics and Finance (all)",0.858,0.233,0.9,0.7,24,26,13,4.17,24,37,16,0.0,6,49,6,0.0
Apuntes del Cenes,Universidad Pedagogica y Tecnologica de Colombia,journal,ECON,"Economics, Econometrics and Finance (all)",0.228,0.130,0.5,0.4,20,13,9,5.0,20,16,16,5.0,16,25,16,0.0
Argumenta Oeconomica,Wroclaw University Economics,journal,ECON;BUSI,Economics and Econometrics;Strategy and Management,0.221,0.182,1.2,1.1,24,125,13,0.0,25,127,18,0.0,13,114,13,0.0
Arthaniti: Journal of Economic Theory and Practice,SAGE Publications Ltd,journal,ECON,"Economics, Econometrics and Finance (all)",1.177,0.373,2.6,2.4,11,61,4,0.0,12,78,4,0.0,11,65,8,0.0
Asia Pacific Journal of Management,Springer New York,journal,ECON;BUSI,"Economics, Econometrics and Finance (miscellaneous);Strategy and Management;Business and International Management",1.985,1.640,11.0,9.7,67,4532,5,1.49,119,5145,23,0.0,83,5128,44,0.0
Asia and the Pacific Policy Studies,John Wiley and Sons Ltd,journal,ECON;BUSI;SOCI,"Political Science and International Relations;Strategy and Management;Public Administration;Economics, Econometrics and Finance (miscellaneous);Sociology and Political Science",0.8,0.316,2.5,3.2,26,676,8,0.0,4,674,1,0.0,19,538,15,0.0
Asia-Pacific Economic History Review,John Wiley and Sons Inc,journal,ECON;ARTS,History;Economics and Econometrics,0.74,0.243,1.0,1.0,17,125,9,5.88,19,175,15,0.0,21,168,21,0.0
Asia-Pacific Financial Markets,Springer New York,journal,ECON,Finance,0.594,0.339,4.1,3.0,28,350,4,0.0,48,408,16,0.0,84,456,60,0.0
Asia-Pacific Journal of Accounting and Economics,Taylor and Francis Ltd.,journal,ECON;BUSI,Finance;Economics and Econometrics;Accounting,0.679,0.318,3.0,2.4,88,606,19,0.0,98,795,36,0.0,76,1004,50,0.0
Asia-Pacific Journal of Financial Studies,John Wiley and Sons Ltd,journal,ECON,Finance,0.754,0.526,2.4,2.6,34,505,12,0.0,32,614,17,0.0,25,704,22,0.0
Asia-Pacific Journal of Regional Science,Springer Science and Business Media Deutschland GmbH,journal,ECON;SOCI;ENER,"Renewable Energy, Sustainability and the Environment;Economics, Econometrics and Finance (miscellaneous);Urban Studies;Development",0.587,0.368,3.8,3.1,50,255,12,0.0,55,368,17,0.0,38,450,34,0.0
Asia-Pacific Review,Routledge,journal,ECON;ARTS;SOCI,History;Political Science and International Relations;Economics and Econometrics,0.188,0.125,0.4,0.5,23,168,11,0.0,24,181,20,20.83,11,154,11,9.09
Asia-Pacific Social Science Review,De la Salle University,journal,ECON;ARTS;SOCI,History;Sociology and Political Science;Economics and Econometrics;Political Science and International Relations,0.386,0.220,1.5,1.4,48,233,25,0.0,31,288,22,0.0,17,296,16,0.0
Asian Academy of Management Journal of Accounting and Finance,Universiti Sains Malaysia,journal,ECON;BUSI,Finance;Accounting,0.57,0.240,1.4,1.5,21,240,11,0.0,20,246,14,0.0,10,259,9,0.0
Asian Affairs,Taylor and Francis Ltd.,journal,ECON;SOCI,"Political Science and International Relations;Sociology and Political Science;Economics, Econometrics and Finance (all)",0,0.145,1.5,1.1,9,130,2,0.0,14,145,8,0.0,12,124,11,0.0
