title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,citeScoreTracker_2024,citeScoreCurrentMetric_2023,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024
Norteamerica,Universidad Nacional Autonoma de Mexico,journal,ECON;SOCI,"Political Science and International Relations;Economics, Econometrics and Finance (all);Cultural Studies;Law;Demography;Sociology and Political Science",0.224,0.162,0.5,0.5,26,56,13,0.0,23,55,19,0.0,27,51,26,0.0
North American Actuarial Journal,Taylor and Francis Ltd.,journal,ECON;DECI;MATH,"Statistics, Probability and Uncertainty;Statistics and Probability;Economics and Econometrics",1.156,0.692,2.6,2.8,29,999,5,0.0,46,980,20,0.0,55,1001,39,0.0
North American Journal of Economics and Finance,Elsevier Inc.,journal,ECON,Finance;Economics and Econometrics,1.232,0.859,7.3,7.3,192,3722,16,1.04,125,4786,29,1.6,204,5140,124,2.45
North Korean Review,"McFarland and Company, Inc",journal,ECON;ARTS;SOCI,"Political Science and International Relations;Economics, Econometrics and Finance (all);Cultural Studies;History;Sociology and Political Science",0.589,0.129,0.6,0.7,13,63,12,0.0,11,71,9,0.0,7,51,7,0.0
Northern Scotland,"Centre for Scottish Studies, University of Aberdeen",journal,ECON;ARTS;SOCI,"Geography, Planning and Development;Cultural Studies;History;Economics, Econometrics and Finance (miscellaneous);Sociology and Political Science;Anthropology",0.039,0.111,0.0,0.1,7,19,7,0.0,11,19,11,0.0,6,11,6,0.0
Nova Economia,Universidade de Minas Gerais,journal,ECON,"Economics, Econometrics and Finance (all)",0.472,0.162,0.7,0.6,28,140,14,0.0,27,159,20,0.0,10,141,10,0.0
OEconomia,Association Oeconomia,journal,ECON;ARTS;SOCI,"History;Sociology and Political Science;Economics, Econometrics and Finance (all)",0.633,0.202,0.6,0.6,23,30,15,4.35,37,50,32,5.41,12,55,12,0.0
OPEC Energy Review,John Wiley & Sons Inc.,journal,ECON;ENER,Economics and Econometrics;Energy (all),0.478,0.331,3.8,2.9,24,176,5,0.0,20,197,7,0.0,23,288,17,0.0
Oeconomia Copernicana,Institute of Economic Research,journal,ECON;BUSI;SOCI;ARTS,"Economics, Econometrics and Finance (all);Development;History;Economics, Econometrics and Finance (miscellaneous);Business and International Management",1.545,0.987,15.0,13.7,36,906,0,11.11,39,1126,2,12.82,22,1056,10,0.0
Open Economies Review,Springer Netherlands,journal,ECON,Economics and Econometrics,0.902,0.478,2.7,2.3,38,955,12,2.63,45,982,16,2.22,69,906,58,0.0
Operations Research Forum,Springer International Publishing AG,journal,ECON;MATH;COMP,"Economics, Econometrics and Finance (miscellaneous);Computer Science Applications;Applied Mathematics;Control and Optimization",0.629,0.388,2.1,1.5,66,99,17,1.52,98,276,49,6.12,102,426,80,7.84
Organizations and Markets in Emerging Economies,Vilnius University Press,journal,ECON;BUSI;SOCI,Finance;Economics and Econometrics;Business and International Management;Development,0.499,0.277,1.9,1.6,23,110,1,0.0,33,196,19,0.0,10,203,10,0.0
Oxford Bulletin of Economics and Statistics,Wiley-Blackwell Publishing Ltd,journal,ECON;DECI;MATH;SOCI,"Statistics, Probability and Uncertainty;Social Sciences (miscellaneous);Statistics and Probability;Economics and Econometrics",1.838,1.790,3.3,5.1,56,5675,8,0.0,50,6090,19,0.0,71,5866,57,0.0
Oxford Economic Papers,Oxford University Press,journal,ECON,Economics and Econometrics,1.006,0.654,2.1,2.2,58,3588,12,0.0,53,3593,24,0.0,62,3277,36,0.0
Oxford Review of Economic Policy,Oxford University Press,journal,ECON;ENVI,"Management, Monitoring, Policy and Law;Economics and Econometrics",1.916,1.896,5.0,12.5,53,3995,7,3.77,54,4083,20,0.0,32,3613,30,3.13
P.A. Persona e Amministrazione,University of Urbino,journal,ECON;SOCI,"Public Administration;Economics, Econometrics and Finance (miscellaneous);Law",0.042,0.101,0.1,0.1,75,9,66,0.0,57,11,57,0.0,0,11,0,0.0
PSL Quarterly Review,Economia Civile,journal,ECON;BUSI;SOCI,"Business, Management and Accounting (all);Law;Economics and Econometrics",0.711,0.302,1.0,1.3,17,43,10,11.76,20,52,11,25.0,21,78,21,4.76
PSU Research Review,Emerald Group Holdings Ltd.,journal,ECON;BUSI;SOCI;COMP,"Education;Social Sciences (miscellaneous);Economics, Econometrics and Finance (all);Business, Management and Accounting (all);Computer Science Applications",2.519,0.646,8.6,9.4,26,324,2,3.85,51,516,12,3.92,3,545,2,33.33
Pacific Accounting Review,Emerald Group Publishing Ltd.,journal,ECON;BUSI,Finance;Accounting,1.077,0.436,3.9,3.8,34,743,3,2.94,37,993,11,0.0,28,1071,26,3.57
Pacific Basin Finance Journal,Elsevier B.V.,journal,ECON,Finance;Economics and Econometrics,1.617,1.137,6.7,6.8,162,5178,16,0.0,264,6255,65,0.0,312,7787,208,0.32
Pacific Economic Review,Wiley-Blackwell Publishing Ltd,journal,ECON,Economics and Econometrics,0.779,0.511,2.1,2.7,21,695,9,0.0,28,686,13,0.0,23,635,16,0.0
Pacific Rim Property Research Journal,Pacific Rim Real Estate Society,journal,ECON,"Economics, Econometrics and Finance (all)",0.451,0.177,1.0,1.1,7,212,5,0.0,1,199,0,0.0,5,240,5,0.0
Pakistan Journal of Commerce and Social Sciences,Johar Education Society Pakistan,journal,ECON;BUSI,"Finance;Business, Management and Accounting (miscellaneous);Economics and Econometrics",0.726,0.440,2.8,4.2,29,488,7,0.0,34,601,19,0.0,29,589,26,0.0
Panoeconomicus,Savez Ekonomista Vojvodine,journal,ECON,"Economics, Econometrics and Finance (all)",0.499,0.239,1.7,1.8,31,375,18,0.0,28,358,10,0.0,23,332,16,0.0
"Peace Economics, Peace Science and Public Policy",Walter de Gruyter GmbH,journal,ECON;SOCI;ENVI,"Political Science and International Relations;Management, Monitoring, Policy and Law;Sociology and Political Science;Economics and Econometrics",0.55,0.329,2.6,2.5,16,258,6,0.0,18,289,7,5.56,17,318,17,5.88
Pensiero Economico Italiano,Fabrizio Serra Editore Srl,journal,ECON;ARTS,"History;Economics, Econometrics and Finance (all)",0.222,0.114,0.1,0.0,22,2,18,9.09,22,4,22,0.0,12,4,12,0.0
Periodicals of Engineering and Natural Sciences,International University of Sarajevo,journal,ECON;ENGI;SOCI;COMP,"Architecture;Education;Industrial and Manufacturing Engineering;Electrical and Electronic Engineering;Biomedical Engineering;Computer Science (all);Economics, Econometrics and Finance (miscellaneous)",0.586,0.235,2.4,1.9,181,930,73,0.0,103,1194,61,0.0,28,1094,27,3.57
Pertanika Journal of Social Science and Humanities,Universiti Putra Malaysia,journal,ARTS;BUSI;SOCI;ECON,"Social Sciences (all);Business, Management and Accounting (all);Economics, Econometrics and Finance (all);Arts and Humanities (all)",0.498,0.206,1.7,1.2,104,1148,38,5.77,81,1371,44,4.94,84,1272,80,5.95
Politica Economica,Societa Editrice II Mulino,journal,ECON;SOCI,Political Science and International Relations;Economics and Econometrics,0.459,0.157,0.8,1.0,12,66,6,0.0,4,87,4,0.0,0,75,0,0.0
Politicka Ekonomie,Prague University of Economics and Business,journal,ECON;SOCI,Sociology and Political Science;Economics and Econometrics,0.138,0.133,0.7,0.5,30,122,17,0.0,31,115,25,0.0,31,119,24,0.0
"Politics, Philosophy and Economics",SAGE Publications Inc.,journal,ECON;ARTS;SOCI,Sociology and Political Science;Economics and Econometrics;Philosophy,1.516,0.745,2.1,1.6,18,495,4,0.0,24,657,8,0.0,31,623,24,0.0
Population and Economics,Pensoft Publishers,journal,ECON;SOCI,Demography;Social Sciences (miscellaneous);Gender Studies;Economics and Econometrics,0.317,0.230,0.6,2.1,34,105,20,0.0,26,129,19,0.0,26,77,25,7.69
Portuguese Economic Journal,Springer Nature,journal,ECON,"Economics, Econometrics and Finance (all);Economics and Econometrics",0.762,0.346,3.3,3.4,20,186,7,0.0,20,247,9,0.0,37,254,28,0.0
Post-Communist Economies,Routledge,journal,ECON,Economics and Econometrics,1.031,0.557,4.9,4.9,52,925,3,0.0,40,999,12,0.0,38,879,29,0.0
Post-Soviet Affairs,Taylor and Francis Ltd.,journal,ECON;SOCI,Political Science and International Relations;Sociology and Political Science;Economics and Econometrics,2.485,1.170,4.8,5.0,29,923,3,0.0,33,1117,7,0.0,28,1009,24,0.0
Prague Economic Papers,Prague University of Economics and Business,journal,ECON,Finance;Economics and Econometrics,0.489,0.212,1.2,1.3,23,343,13,0.0,30,375,20,0.0,20,316,19,0.0
Problemas del Desarrollo,Universidad Nacional Autonoma de Mexico,journal,ECON;SOCI,Economics and Econometrics;Development,0.362,0.142,1.0,0.7,34,188,15,2.94,24,185,22,0.0,18,139,18,0.0
Proceedings of the Centre for Economic History Research,Center for Economic and History Research (CEHR),journal,ECON;ARTS,"History;Economics, Econometrics and Finance (all)",0.793,0.184,0.2,0.3,32,5,30,3.13,32,17,32,0.0,0,4,0,0.0
Progress in Industrial Ecology,Inderscience Enterprises Ltd,journal,ECON;SOCI;ENVI,"Economics, Econometrics and Finance (all);Development;Waste Management and Disposal;Management, Monitoring, Policy and Law;Ecology",0.159,0.173,0.6,1.1,14,257,7,7.14,15,215,13,0.0,11,189,11,0.0
Przeglad Wschodnioeuropejski,University of Warmia and Mazury in Olsztyn,journal,ECON;ARTS;SOCI,Social Sciences (all);Economics and Econometrics;Arts and Humanities (all),0.579,0.190,0.2,0.2,51,34,49,1.96,47,34,45,0.0,23,18,23,0.0
Przestrzen Spoleczna,Stowarzyszenie Naukowe Przestrzen Spoleczna i Srodowisko,journal,ECON;SOCI;PSYC,"Education;Social Sciences (miscellaneous);Geography, Planning and Development;Cultural Studies;Urban Studies;Social Psychology;Demography;Economics, Econometrics and Finance (miscellaneous);Sociology and Political Science",0.168,0.146,2.2,1.1,54,68,20,0.0,0,46,0,0.0,0,65,0,0.0
Public Budgeting and Finance,Wiley-Blackwell,journal,ECON;SOCI,Public Administration;Finance;Economics and Econometrics,0.825,0.558,2.1,2.1,22,722,5,0.0,13,797,7,0.0,20,634,18,0.0
Public Choice,Springer Netherlands,journal,ECON;SOCI,Sociology and Political Science;Economics and Econometrics,1.24,0.758,3.8,3.6,84,5267,28,0.0,85,5757,36,0.0,121,5276,91,0.0
Public Finance Quarterly,Corvinus University of Budapest,journal,ECON;SOCI,Public Administration;Finance,0.29,0.221,0.8,0.9,71,41,50,1.41,42,69,36,2.38,22,67,21,0.0
Public Finance Review,SAGE Publications Inc.,journal,ECON;SOCI,Public Administration;Finance;Economics and Econometrics,0.549,0.427,1.3,1.3,24,759,9,0.0,25,831,12,0.0,36,820,26,0.0
Public Policy and Administration,Mykolo Romerio Universitetas,journal,ECON;SOCI,"Public Administration;Economics, Econometrics and Finance (miscellaneous);Sociology and Political Science",0.268,0.137,0.8,0.8,66,179,41,1.52,45,197,36,0.0,28,195,28,0.0
Public Sector Economics,Institute of Public Finance,journal,ECON,Finance;Economics and Econometrics,0.232,0.160,1.1,1.1,19,81,7,0.0,21,133,13,0.0,15,111,15,0.0
Public and Municipal Finance,LLC CPC Business Perspectives,journal,ECON;BUSI;SOCI,"Public Administration;Law;Finance;Business, Management and Accounting (miscellaneous);Social Sciences (miscellaneous)",0.807,0.272,3.7,3.3,12,41,0,0.0,21,112,7,0.0,18,86,15,0.0
Pulp and Paper Canada,Business Information Group,tradejournal,ECON;ENGI;CENG;MATE,Industrial and Manufacturing Engineering;Mechanical Engineering;Economics and Econometrics;Materials Science (all);Chemical Engineering (all),0,0.103,0.0,0.0,10,113,10,0.0,7,140,6,0.0,9,123,9,11.11
Q Open,Oxford University Press,journal,ECON;AGRI;SOCI,"Development;Economics and Econometrics;Food Science;Agricultural and Biological Sciences (miscellaneous);Economics, Econometrics and Finance (miscellaneous)",0.521,0.439,3.1,2.1,29,62,6,0.0,37,113,12,0.0,22,186,15,9.09
Qualitative Research in Financial Markets,Emerald Publishing,journal,ECON;BUSI,Finance;Economics and Econometrics;Strategy and Management,1.262,0.492,5.0,4.6,35,555,3,11.43,44,946,8,20.45,72,1181,42,22.22
Qualitative Research in Organizations and Management,Emerald Publishing,journal,ECON;BUSI,"Business, Management and Accounting (all);Economics, Econometrics and Finance (all)",0.791,0.530,4.8,3.8,31,707,6,3.23,19,817,7,15.79,15,859,15,0.0
Quantitative Economics,Wiley-Blackwell,journal,ECON,Economics and Econometrics,1.48,4.720,4.7,4.1,50,796,7,0.0,39,1091,10,0.0,23,1158,17,0.0
Quantitative Finance,Taylor and Francis Ltd.,journal,ECON,"Finance;Economics, Econometrics and Finance (all)",1.084,0.705,3.2,3.2,125,3951,30,0.0,104,4052,41,0.0,83,3758,71,0.0
Quantitative Marketing and Economics,Kluwer Academic Publishers,journal,ECON;BUSI,"Economics, Econometrics and Finance (miscellaneous);Marketing",0.84,1.408,2.5,2.3,12,549,2,0.0,13,604,7,0.0,15,488,11,0.0
Quarterly Journal of Austrian Economics,Ludwig Von Mises Institute,journal,ECON,"Economics, Econometrics and Finance (all)",0.657,0.312,0.5,1.3,16,113,11,0.0,14,153,13,7.14,8,94,8,0.0
Quarterly Journal of Economics,Oxford University Press,journal,ECON,Economics and Econometrics,9.636,30.448,19.2,24.2,48,41808,1,2.08,47,44849,0,0.0,48,42909,18,0.0
Quarterly Journal of Finance,World Scientific,journal,ECON;BUSI,Finance;Economics and Econometrics;Strategy and Management,0.412,0.532,1.1,1.1,22,371,12,4.55,22,386,20,0.0,14,401,13,0.0
Quarterly Review of Economics and Finance,Elsevier B.V.,journal,ECON,Finance;Economics and Econometrics,1.199,0.662,6.0,6.0,129,3743,15,0.0,145,4432,35,0.69,117,4505,81,1.71
R-Economy,Ural Federal University,journal,ECON;SOCI,"Public Administration;Economics, Econometrics and Finance (all);Geography, Planning and Development",0.639,0.245,1.2,1.6,29,46,12,0.0,27,80,16,0.0,14,60,14,0.0
RAND Journal of Economics,Wiley-Blackwell,journal,ECON,Economics and Econometrics,2.092,3.860,4.9,4.6,27,5232,5,0.0,23,5283,12,0.0,20,4759,16,0.0
RECMA,Association Recma,journal,ECON;SOCI,Sociology and Political Science;Economics and Econometrics,0.057,0.115,0.2,0.3,47,22,40,14.89,35,26,34,17.14,0,21,0,0.0
REVESCO Revista de Estudios Cooperativos,Universidad Complutense Madrid,journal,ECON;SOCI,Social Sciences (miscellaneous);Economics and Econometrics,0.936,0.307,2.2,2.1,13,222,5,0.0,32,275,21,3.13,18,251,14,0.0
Real Estate Economics,Wiley-Blackwell Publishing Ltd,journal,ECON;BUSI,Finance;Economics and Econometrics;Accounting,1.678,1.233,3.6,4.0,54,2054,3,0.0,51,2141,18,0.0,52,2047,35,0.0
Real Estate Management and Valuation,De Gruyter Open Ltd.,journal,ECON;BUSI,Finance;Marketing;Economics and Econometrics;Strategy and Management,0.341,0.191,1.5,1.5,32,198,13,3.13,32,185,20,3.13,40,217,29,0.0
Recta,Asociacion Espanola de Profesores Universitarios de Matematicas aplicadas a la Economia y la Empresa,journal,ECON;MATH,Economics and Econometrics;Applied Mathematics,0.25,0.127,0.4,0.3,3,17,3,0.0,15,18,14,0.0,0,19,0,0.0
Reflets et Perspectives de la Vie Economique,De Boeck Supérieur,journal,ECON,"Economics, Econometrics and Finance (all)",0.083,0.128,0.0,0.2,0,82,0,0.0,6,80,6,0.0,0,82,0,0.0
Region,European Regional Science Association,journal,ECON;SOCI,"Geography, Planning and Development;Economics and Econometrics",0.462,0.262,2.0,1.8,23,146,5,4.35,19,160,11,0.0,8,169,8,0.0
"Region: Regional Studies of Russia, Eastern Europe, and Central Asia",Slavica Publishers,journal,ECON;ARTS;SOCI,History;Sociology and Political Science;Economics and Econometrics,0.929,0.160,0.5,0.7,11,56,9,0.0,7,81,7,0.0,0,46,0,0.0
Regional Research of Russia,Pleiades Publishing,journal,ECON;SOCI;ENVI,"Geography, Planning and Development;Environmental Science (miscellaneous);Public Administration;Cultural Studies;Urban Studies;Economics, Econometrics and Finance (miscellaneous)",0.71,0.331,1.2,1.6,66,341,36,0.0,74,248,57,0.0,43,158,43,0.0
Regional Science Inquiry,Hellenic Association of Regional Scientists,journal,ECON;SOCI,"Sociology and Political Science;Geography, Planning and Development;Economics and Econometrics;Development",0.376,0.236,2.5,2.3,12,120,6,0.0,13,90,11,7.69,8,83,8,0.0
Regional Science and Urban Economics,Elsevier B.V.,journal,ECON;SOCI,Economics and Econometrics;Urban Studies,1.669,1.412,6.2,5.3,74,5108,11,0.0,70,5231,19,0.0,55,5137,36,0.0
Regional Statistics,Hungarian Central Statistical Office,journal,ECON;MATH;SOCI,"Geography, Planning and Development;Public Administration;Cultural Studies;Economics and Econometrics;Statistics and Probability",1.316,0.654,3.8,5.3,32,304,6,0.0,48,278,22,0.0,40,211,38,0.0
"Regional Studies, Regional Science",Taylor and Francis Ltd.,journal,ECON;SOCI,"Sociology and Political Science;Geography, Planning and Development;Economics and Econometrics",0.996,0.533,3.2,3.0,59,812,6,0.0,55,902,16,0.0,44,1031,39,0.0
Regional and Sectoral Economic Studies,Euro-American Association of Economic Development Studies,journal,ECON;SOCI,Economics and Econometrics;Development,0.189,0.140,0.8,0.8,13,101,3,0.0,11,93,10,0.0,8,83,8,0.0
Religiovedenie,Amur State University,journal,ECON;ARTS;SOCI,Cultural Studies;Religious Studies;Economics and Econometrics;Linguistics and Language,0.441,0.185,0.2,0.2,61,8,57,0.0,62,10,61,0.0,38,5,38,0.0
Research in Economic Anthropology,Emerald Group Publishing Ltd.,bookseries,ECON;SOCI,Economics and Econometrics;Anthropology,0.326,0.131,2.0,1.0,23,129,8,0.0,0,128,0,0.0,8,129,7,0.0
Research in Economics,Academic Press,journal,ECON,Economics and Econometrics,0.666,0.339,1.2,1.4,33,755,10,0.0,38,759,18,0.0,52,773,42,0.0
Research in Experimental Economics,Emerald Group Publishing Ltd.,bookseries,ECON,Economics and Econometrics,0.655,0.136,0.4,0.2,6,130,4,0.0,0,114,0,0.0,0,89,0,0.0
Research in Finance,Emerald Group Publishing Ltd.,bookseries,ECON,Finance,0.223,0.119,0.4,1.1,0,50,0,0.0,7,48,5,0.0,0,58,0,0.0
Research in Globalization,Elsevier B.V.,journal,ECON;SOCI;ENVI,"Global and Planetary Change;Geography, Planning and Development;Development;Environmental Science (miscellaneous);Urban Studies;Economics, Econometrics and Finance (miscellaneous)",1.393,0.813,5.8,8.0,31,474,3,16.13,73,620,12,6.85,75,868,38,9.33
Research in International Business and Finance,Elsevier B.V.,journal,ECON;BUSI,"Finance;Business, Management and Accounting (miscellaneous)",1.927,1.294,10.0,11.2,247,6785,9,1.62,252,8902,31,1.59,387,10524,153,3.36
Research in Labor Economics,Emerald Group Publishing Ltd.,bookseries,ECON;BUSI;SOCI,Political Science and International Relations;Economics and Econometrics;Industrial Relations,0.693,0.687,0.9,1.0,0,265,0,0.0,21,302,11,0.0,0,281,0,0.0
Research in Law and Economics,Emerald Group Publishing Ltd.,bookseries,ECON;SOCI,Law;Economics and Econometrics,0,0.243,0.4,0.2,0,15,0,0.0,6,21,5,0.0,0,13,0,0.0
Research in Political Economy,Emerald Group Publishing Ltd.,bookseries,ECON;SOCI,Political Science and International Relations;Economics and Econometrics,0.221,0.110,0.4,0.3,0,70,0,0.0,13,63,10,0.0,0,68,0,0.0
Research in Transportation Business and Management,Elsevier B.V.,journal,ECON;BUSI;DECI;SOCI,"Strategy and Management;Transportation;Management Science and Operations Research;Decision Sciences (all);Tourism, Leisure and Hospitality Management;Economics, Econometrics and Finance (miscellaneous);Business and International Management",1.247,1.100,7.9,7.1,166,2536,10,0.0,133,3140,14,0.0,118,3466,78,0.0
Research in Transportation Economics,Emerald Publishing,journal,ECON;SOCI,"Economics, Econometrics and Finance (miscellaneous);Transportation",1.394,1.147,9.5,8.4,65,3555,4,0.0,83,3722,16,0.0,64,3418,39,0.0
Research in the History of Economic Thought and Methodology,Emerald Group Publishing Ltd.,bookseries,ECON;ARTS,"Economics, Econometrics and Finance (miscellaneous);History and Philosophy of Science;Arts and Humanities (all)",0,0.103,0.5,0.5,18,84,14,0.0,26,105,25,0.0,19,81,13,0.0
Research on World Agricultural Economy,Nan Yang Academy of Sciences Pte. Ltd,journal,ECON;AGRI,"Economics, Econometrics and Finance (miscellaneous);Agricultural and Biological Sciences (miscellaneous);Economics and Econometrics",0.182,0.135,1.1,0.7,24,9,8,16.67,32,39,19,3.13,26,64,23,3.85
Reserve Bank of India Occasional Papers,Reserve Bank of India,journal,ECON,"Economics, Econometrics and Finance (all)",0.415,0.128,0.6,0.6,7,4,4,0.0,6,13,6,0.0,0,14,0,0.0
Resource and Energy Economics,Elsevier B.V.,journal,ECON,Economics and Econometrics,0.928,1.060,5.4,5.4,41,3089,4,0.0,35,3005,11,0.0,23,2696,12,0.0
Resources Policy,Elsevier Ltd,journal,ECON;SOCI;ENVI,"Management, Monitoring, Policy and Law;Law;Sociology and Political Science;Economics and Econometrics",2.083,2.063,15.7,13.4,626,14314,11,0.0,1099,21953,72,0.0,905,31053,372,0.0
"Resources, Conservation and Recycling",Elsevier B.V.,journal,ECON;ENVI,Waste Management and Disposal;Economics and Econometrics,2.633,2.770,22.6,22.9,612,47954,12,8.99,544,56585,25,6.99,507,56984,194,6.9
"Resources, Conservation and Recycling Advances",Elsevier Inc.,journal,ECON;ENVI,Waste Management and Disposal;Economics and Econometrics,2.268,2.031,8.3,11.7,57,563,4,8.77,72,1113,5,13.89,37,1400,21,21.62
Retos (Ecuador),Universidad Politecnica Salesiana,journal,ECON;BUSI;SOCI,Management of Technology and Innovation;Strategy and Management;Public Administration;Economics and Econometrics;Marketing;Business and International Management,0.898,0.278,2.8,2.7,20,93,3,0.0,20,171,11,0.0,20,135,20,5.0
Review of Accounting and Finance,Emerald Publishing,journal,ECON;BUSI,Finance;Accounting,0.893,0.552,4.3,4.3,19,600,3,0.0,30,819,2,6.67,36,871,21,2.78
Review of Applied Socio-Economic Research,Pro Global Science Association,journal,ECON;BUSI;SOCI,Management of Technology and Innovation;Economics and Econometrics;Social Sciences (miscellaneous);Marketing;Business and International Management,0.315,0.162,0.7,0.6,25,16,11,0.0,25,39,21,4.0,11,37,10,0.0
Review of Asset Pricing Studies,Oxford University Press,journal,ECON,Finance;Economics and Econometrics,3.52,6.315,3.6,19.8,24,938,6,0.0,20,1019,8,5.0,15,916,10,0.0
Review of Austrian Economics,Kluwer Academic Publishers,journal,ECON,"Economics, Econometrics and Finance (all)",0.733,0.351,1.7,1.8,32,533,17,18.75,51,610,27,9.8,24,410,19,0.0
Review of Behavioral Economics,Now Publishers Inc,journal,ECON;SOCI;PSYC,"Social Sciences (miscellaneous);Social Psychology;Economics, Econometrics and Finance (miscellaneous)",0.464,0.334,0.9,2.1,15,32,9,0.0,15,41,10,0.0,21,32,20,4.76
Review of Behavioral Finance,Emerald Group Publishing Ltd.,journal,ECON;BUSI,Finance;Strategy and Management;Accounting,1.091,0.484,4.8,4.7,46,408,7,4.35,50,676,11,2.0,61,748,38,0.0
Review of Black Political Economy,Springer New York,journal,ECON;SOCI,Cultural Studies;Economics and Econometrics,1.156,0.594,2.1,2.8,22,524,6,4.55,24,507,15,0.0,31,555,25,0.0
Review of Corporate Finance Studies,Oxford University Press,journal,ECON;BUSI,Finance;Economics and Econometrics;Business and International Management,3.412,5.418,4.4,17.8,24,713,4,0.0,22,965,8,4.55,22,1104,12,4.55
Review of Derivatives Research,Springer New York,journal,ECON,"Economics, Econometrics and Finance (miscellaneous);Finance",0.46,0.278,1.7,1.4,12,241,4,0.0,6,240,3,0.0,8,255,4,0.0
Review of Development Finance,AfricaGrowth Institute,journal,ECON,Finance;Economics and Econometrics,0.187,0.199,1.0,0.8,10,668,7,0.0,9,686,8,0.0,5,622,5,0.0
Review of Economic Analysis,International Centre for Economic Analysis,journal,ECON,Economics and Econometrics,0.433,0.231,1.6,1.1,30,29,16,0.0,15,54,13,0.0,9,67,9,0.0
Review of Economic Design,Springer Verlag,journal,ECON,"Economics, Econometrics and Finance (all)",0.515,0.375,0.7,0.8,38,220,20,0.0,41,244,26,0.0,36,191,32,0.0
Review of Economic Dynamics,Academic Press Inc.,journal,ECON,Economics and Econometrics,1.668,3.582,3.8,3.3,56,2499,13,0.0,102,2891,40,0.0,23,2924,19,0.0
Review of Economic Perspectives,De Gruyter Open Ltd.,journal,ECON,"Economics, Econometrics and Finance (all)",0.575,0.220,0.9,1.4,15,156,4,0.0,15,186,13,0.0,3,179,3,0.0
Review of Economic Research on Copyright Issues,Society for Economic Research on Copyright Issues,journal,ECON;BUSI;SOCI,"Law;Economics, Econometrics and Finance (all);Management of Technology and Innovation",0,0.103,0.2,0.1,3,1,3,0.0,3,0,3,0.0,0,2,0,0.0
Review of Economic Studies,Oxford University Press,journal,ECON,Economics and Econometrics,4.536,13.609,11.5,10.4,93,18886,5,2.15,97,20719,12,0.0,91,19954,40,1.1
Review of Economics,De Gruyter Oldenbourg,journal,ECON,"Economics, Econometrics and Finance (all)",0.619,0.186,1.2,1.0,10,41,8,10.0,12,77,7,8.33,4,62,3,0.0
Review of Economics and Political Science,Emerald Publishing,journal,ECON;MATH;SOCI,"Political Science and International Relations;Economics, Econometrics and Finance (all);Sociology and Political Science;Statistics and Probability;Applied Mathematics",0.913,0.338,4.2,3.1,19,126,5,0.0,41,232,9,0.0,29,314,20,0.0
Review of Economics and Statistics,MIT Press Journals,journal,ECON;SOCI,Social Sciences (miscellaneous);Economics and Econometrics,3.68,7.553,7.8,8.5,90,18133,5,0.0,107,18593,12,0.0,94,18576,33,0.0
Review of Economics of the Household,Kluwer Academic Publishers,journal,ECON;SOCI,Social Sciences (miscellaneous);Economics and Econometrics,2.024,1.828,8.5,9.3,50,1548,6,0.0,53,1664,11,0.0,87,1679,64,1.15
Review of Environmental Economics and Policy,University of Chicago Press,journal,ECON;ENVI,"Management, Monitoring, Policy and Law;Economics and Econometrics",2.439,3.311,10.5,10.8,21,2202,3,0.0,22,2284,7,4.55,19,2291,16,0.0
Review of Finance,Oxford University Press,journal,ECON;BUSI,Finance;Economics and Econometrics;Accounting,3.97,7.769,10.0,7.8,47,3633,3,0.0,61,4329,8,0.0,51,5103,35,0.0
Review of Financial Economics,John Wiley & Sons Inc.,journal,ECON,Finance;Economics and Econometrics,0.515,0.389,2.4,2.8,23,933,3,0.0,22,987,13,0.0,26,963,24,0.0
Review of Financial Studies,Oxford University Press,journal,ECON;BUSI,Finance;Economics and Econometrics;Accounting,5.219,17.654,14.2,16.0,129,26158,5,8.53,115,29745,12,0.0,81,31973,33,2.47
Review of Income and Wealth,Wiley-Blackwell Publishing Ltd,journal,ECON,Economics and Econometrics,1.6,1.159,4.3,4.0,59,2703,8,1.69,46,2584,17,0.0,80,2382,57,1.25
Review of Industrial Organization,Springer Netherlands,journal,ECON;BUSI,Organizational Behavior and Human Resource Management;Management of Technology and Innovation;Economics and Econometrics;Strategy and Management,1.048,0.687,1.6,2.1,46,1473,17,0.0,41,1391,24,0.0,68,1330,61,0.0
Review of Integrative Business and Economics Research,GMP Press & Printing Co.,journal,ECON;BUSI,"Economics, Econometrics and Finance (miscellaneous);Business, Management and Accounting (miscellaneous)",0.386,0.171,1.3,1.2,67,52,35,8.96,28,82,13,0.0,86,141,78,4.65
Review of International Organizations,Springer New York,journal,ECON;SOCI,Political Science and International Relations;Economics and Econometrics,2.122,1.564,7.4,8.1,35,1660,7,0.0,37,1816,7,0.0,54,1871,31,0.0
Review of International Political Economy,Routledge,journal,ECON;SOCI,Political Science and International Relations;Sociology and Political Science;Economics and Econometrics,3.106,2.256,8.2,9.2,88,4158,9,0.0,103,4567,19,0.0,91,4592,54,0.0
